Model,MAE,RMSE,R2,Training Time (s),Prediction Time (s),Task
Linear Regression (Scikit-learn),0.10845261337977505,0.14861757809593648,0.16816825663056223,0.08649769998737611,0.008395200013183057,Regression
Linear Regression (Manual),0.10845697211739685,0.14862836639800553,0.168047485212391,0.009658800001488999,0.0005441000103019178,Regression
